persona_id,honest-humility,emotionality,extraversion,agreeableness,conscientiousness,openness to experience,altruism
1c0bc7fe-999d-4978-a9bc-cc8539e58845,3.5,3.25,2.5,3.25,4.5,3.0,3.5
def43a5c-3322-4d9c-adb9-4ce5ef5f7392,3.0,3.5,3.0,3.5,3.667,3.25,4.25
90706a3f-6387-4947-8c97-2d88d092f1f5,3.5,3.0,2.0,3.5,4.25,3.333,3.5
cad2f5fc-a429-42b6-bb4d-d305c8013344,3.0,3.5,2.25,3.75,4.0,3.25,3.75
72b7e60c-4c6f-4891-bc25-269df6f9ca42,3.25,3.667,2.75,3.25,4.0,3.25,3.75
21470603-e016-4722-9804-f83762d0339c,3.5,4.0,2.0,3.0,3.75,3.0,3.5
f645a65d-9632-4e52-925d-1d256c6716b1,3.667,3.25,2.75,4.0,3.75,3.25,4.25
89a2ad57-7662-4e72-96a1-5fd025bfcb07,3.75,3.25,2.5,3.0,4.0,3.0,3.75
e6582c7a-15bd-4b93-a9f3-968e378034d9,3.5,2.75,2.5,3.5,4.25,3.0,3.25
5cad83fd-74ed-4d00-8221-4e7782cb4291,3.667,3.25,3.25,3.25,4.0,3.0,3.75
6686a898-a439-4968-8c7c-6c686cdc43e0,3.5,3.5,2.5,3.5,4.0,3.25,4.25
b1c2b71d-194f-4543-a15f-c4a37f54706b,3.25,3.5,2.0,4.0,4.25,3.0,3.75
6b4d369a-181f-4b81-9639-31af1127e609,3.75,3.25,3.0,3.0,4.25,3.0,3.75
2a598268-ff6e-4ef4-806d-d8e0110d9f98,2.75,3.25,2.75,3.75,3.75,3.0,3.75
d3250ef2-f102-4124-9d8e-3c4e3044f200,3.75,3.25,3.25,2.75,3.5,3.25,3.75
1e671c96-b05c-4e52-8427-1648065a752c,3.25,3.25,2.667,2.667,4.0,3.0,3.5
fb8b9aa4-09b5-498e-a5c6-eb00b3170524,3.25,3.25,2.25,3.333,4.25,3.0,4.0
b1d4bee8-bc52-4571-9714-7ca5e83bf5ad,3.25,3.5,2.5,2.5,3.5,3.0,3.75
