,,,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std
paraphrase,,,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase
likert_scale,,,inverse,inverse,inverse,inverse,normal,normal,normal,normal,inverse,inverse,inverse,inverse,normal,normal,normal,normal,inverse,inverse,inverse,inverse,normal,normal,normal,normal
refusal_allowed,,,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal
persona,trait,subtrait,,,,,,,,,,,,,,,,,,,,,,,,
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",agreeableness,flexibility,0.0,0.4583333333333333,0.0,0.36666666666666664,0.0,0.3333333333333333,0.0,0.43333333333333335,3.4916666666666667,3.134,3.425,3.2889333333333335,3.6,3.2944,3.591666666666667,3.218413793103448,0.5020790110464024,0.6590228456670612,0.5986695018236632,0.7204078793597958,0.5594023904871687,0.6494876813888482,0.4427740400867158,0.7866043894596835
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",agreeableness,forgiveness,0.0,0.38333333333333336,0.0,0.31666666666666665,0.0,0.325,0.0,0.4,2.9833333333333334,2.3218275862068967,2.7916666666666665,2.591666666666667,2.841666666666667,2.6111333333333335,2.8916666666666666,2.3908275862068966,0.5645158641876598,0.8996504110313991,0.5688893191748852,0.878194241860411,0.514795462116841,0.919493741267381,0.5860568604479952,0.9389441284521033
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",agreeableness,gentleness,0.0,0.45,0.0,0.4,0.0,0.39166666666666666,0.0,0.36666666666666664,2.3583333333333334,3.1139,2.308333333333333,2.9333666666666667,2.15,2.968413793103448,2.316666666666667,2.8139,0.5597233512058054,0.796452234643714,0.5029367776359676,0.8115974661902516,0.5555363981371267,0.9518197052128765,0.5290416405834841,0.7582813302871626
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",agreeableness,patience,0.0,0.475,0.0,0.36666666666666664,0.0,0.425,0.0,0.4,2.875,3.1350344827586207,3.1,3.0776206896551725,2.9916666666666667,3.0638666666666667,3.058333333333333,3.23851724137931,0.5714093284937298,0.869015472604266,0.48954588386972797,0.7035172052822012,0.5627952609494206,1.2093492617030075,0.4986331892997741,0.9906689522269304
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",altruism,altruism,0.0,0.43333333333333335,0.0,0.48333333333333334,0.0,0.425,0.0,0.39166666666666666,2.9583333333333335,2.517857142857143,3.0166666666666666,2.5388666666666664,2.8583333333333334,2.352733333333333,2.8666666666666667,2.6138666666666666,0.48726600632461553,0.8538791966898375,0.6976973621817717,0.8706366569963312,0.6147726427703584,0.7529123195429467,0.5443017249798975,0.8253915573765616
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",conscientiousness,diligence,0.0,0.375,0.0,0.4666666666666667,0.0,0.425,0.0,0.5666666666666667,3.1166666666666667,2.6472333333333333,3.0416666666666665,2.3690714285714285,3.058333333333333,2.144433333333333,2.933333333333333,1.9884827586206895,0.4945100907818338,0.9043499354492853,0.4259033671631624,0.6858569621187589,0.40302377215189206,0.8055495739505758,0.37676786352939623,0.9427151372759753
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",conscientiousness,organization,0.0,0.475,0.0,0.44166666666666665,0.0,0.5,0.0,0.4,2.9833333333333334,2.3528333333333333,2.9916666666666667,2.5178928571428574,3.05,2.378,2.8916666666666666,2.376448275862069,0.5568280446101541,0.8193396030081003,0.5231013835493692,0.6809649656124274,0.4842341981115023,0.9175063225132847,0.48991261242806555,0.8885388722989034
