persona_id,honest-humility,emotionality,extraversion,agreeableness,conscientiousness,openness to experience,altruism,model_name
782f13f4-0d98-41b4-a170-a2839dc6be70,3.25,3.25,2.25,3.75,4.25,3.333,4.0,Qwen2_5-7B-Instruct
81596279-9ae8-463f-bb93-f8f0f88d777e,3.25,3.25,2.25,3.75,4.25,2.75,3.0,Qwen2_5-7B-Instruct
6ce72d58-d03e-46d3-ae63-28b1bad56c26,3.5,3.25,2.5,3.25,4.25,3.0,3.25,Qwen2_5-7B-Instruct
e960e68a-f260-48df-8cb7-d6f8a46e470a,3.667,3.75,2.25,3.25,3.75,3.0,3.75,Qwen2_5-7B-Instruct
e3d265c4-b172-44f0-b058-be4d42fe5fb4,3.25,3.5,2.5,3.25,4.5,3.0,3.5,Qwen2_5-7B-Instruct
3e943da5-cd1d-4400-8853-b672416f52e3,3.5,4.0,1.667,3.25,4.0,3.0,3.5,Qwen2_5-7B-Instruct
9ae21d77-9a50-475e-a868-d7035d570fb7,3.0,3.5,2.5,3.25,4.25,3.0,3.75,Qwen2_5-7B-Instruct
5cc74f49-e918-4453-83cc-e6700d81322a,3.5,3.25,2.75,3.5,4.25,3.333,4.0,Qwen2_5-7B-Instruct
f30b35da-8c27-43ca-94b8-f17e5297fe01,3.5,3.5,2.5,3.0,4.25,3.25,4.0,Qwen2_5-7B-Instruct
be3662cf-7e01-4363-a652-ad7bd2a60269,3.75,3.5,2.75,3.25,3.25,3.0,3.667,Qwen2_5-7B-Instruct
1b380788-aeae-48cb-abb3-15c02ff37436,3.75,3.5,1.75,3.5,4.5,3.333,4.0,Qwen2_5-7B-Instruct
b5ebb1e0-7f90-49fe-81e5-387a147e712e,3.25,3.5,3.0,2.333,4.0,3.25,3.75,Qwen2_5-7B-Instruct
38e3a98c-b574-40f9-a6cc-be206073c4c1,4.0,3.5,2.75,3.667,4.25,2.75,3.5,Qwen2_5-7B-Instruct
a98688eb-3b52-40e6-982b-293a6f9ab1c1,3.0,3.5,2.75,4.0,4.25,3.0,3.75,Qwen2_5-7B-Instruct
d5014bba-be7b-40b1-bf20-587d57db8b57,3.75,3.5,2.75,3.25,3.25,3.0,4.0,Qwen2_5-7B-Instruct
2122bb1b-46b2-442f-aba1-234f6052db88,3.667,4.0,3.0,3.75,4.0,3.333,3.75,Qwen2_5-7B-Instruct
74d6f2b2-d837-4b31-9997-1d011c7ccb8b,3.667,3.0,2.75,3.25,4.0,3.0,4.0,Qwen2_5-7B-Instruct
d46b5093-669d-4299-8a03-687b4b752bc9,3.5,3.5,3.25,3.0,4.0,3.25,4.0,Qwen2_5-7B-Instruct
f9c526ec-daf2-4617-b5fc-4d88e642101b,3.25,3.25,3.0,3.5,3.75,2.5,3.75,Qwen2_5-7B-Instruct
33d9b9e6-4c8a-4d9b-af8e-f6c266b5f7eb,3.667,3.5,2.0,3.75,4.0,3.333,3.75,Qwen2_5-7B-Instruct
b3241695-0c38-4ab0-b143-4cc8c5266cb8,3.5,3.5,2.75,3.5,4.5,3.25,3.75,Qwen2_5-7B-Instruct
