,,,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std
paraphrase,,,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase
likert_scale,,,inverse,inverse,inverse,inverse,normal,normal,normal,normal,inverse,inverse,inverse,inverse,normal,normal,normal,normal,inverse,inverse,inverse,inverse,normal,normal,normal,normal
refusal_allowed,,,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal
persona,trait,subtrait,,,,,,,,,,,,,,,,,,,,,,,,
base_model,agreeableness,flexibility,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3666666666666667,3.441666666666667,3.4583333333333335,3.475,3.275,3.433333333333333,3.433333333333333,3.441666666666667,0.20482681218167162,0.12600173324843275,0.09476225544736293,0.1006444749841122,0.13693063937629155,0.1458230702464185,0.1124441112772009,0.10754576678801905
base_model,agreeableness,forgiveness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.975,3.15,2.9916666666666667,3.0083333333333333,3.0166666666666666,3.175,3.066666666666667,3.125,0.13693063937629155,0.12456821978060997,0.04564354645876384,0.045643546458763826,0.06342703292561556,0.11652289992484974,0.11244411127720094,0.12713690692890203
base_model,agreeableness,gentleness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2333333333333334,3.25,3.25,3.25,3.216666666666667,3.216666666666667,3.25,3.2416666666666667,0.06342703292561556,0.06565321642986127,0.0,0.0,0.0864364759104401,0.08643647591044012,0.09284766908852593,0.04564354645876381
base_model,agreeableness,patience,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2416666666666667,3.158333333333333,3.1,3.066666666666667,3.225,3.1083333333333334,3.175,3.2083333333333335,0.045643546458763826,0.1537369749645946,0.15536386656646628,0.17287295182088022,0.10064447498411223,0.1697276384810907,0.14899085831710943,0.1619298130914012
base_model,altruism,altruism,0.0,0.041666666666666664,0.0,0.075,0.0,0.016666666666666666,0.0,0.0,4.0,3.9055000000000004,3.808333333333333,3.8639,3.933333333333333,3.9722,4.166666666666667,4.133333333333334,0.06565321642986127,0.26791258867849743,0.2244085457425783,0.26490249995566034,0.1458230702464186,0.20691434176389567,0.16522363806281667,0.1572025562074641
base_model,conscientiousness,diligence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.308333333333333,3.5083333333333333,3.525,3.2666666666666666,3.316666666666667,3.525,3.5166666666666666,0.13771534860493698,0.10754576678801911,0.15373697496459454,0.17799166970046273,0.06342703292561562,0.11244411127720091,0.17799166970046273,0.06342703292561556
base_model,conscientiousness,organization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,3.3333333333333335,3.1333333333333333,3.2333333333333334,3.1166666666666667,3.0833333333333335,3.1,3.1083333333333334,3.2583333333333333,0.2005738892714386,0.1428366159308415,0.2069204966986668,0.15720255620746423,0.11986582537134602,0.1408104619937616,0.14208019428898386,0.20688116417874788
base_model,conscientiousness,perfectionism,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,3.2,3.2666666666666666,3.1,3.2666666666666666,3.225,3.1166666666666667,3.0611,2.933333333333333,0.2576418256899053,0.1728729518208802,0.267491540310962,0.1962288131912252,0.1897139407380091,0.1572025562074642,0.26254015784782064,0.21708624272765234
base_model,conscientiousness,prudence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2416666666666667,3.375,3.15,3.125,3.25,3.375,3.2416666666666667,3.275,0.10346024834933339,0.14308786786808475,0.15536386656646645,0.17057205980525325,0.09284766908852592,0.14308786786808475,0.13901335419188385,0.1518563295604968
