,,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std
paraphrase,,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase
likert_scale,,inverse,inverse,inverse,inverse,normal,normal,normal,normal,inverse,inverse,inverse,inverse,normal,normal,normal,normal,inverse,inverse,inverse,inverse,normal,normal,normal,normal
refusal_allowed,,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal
persona,trait,,,,,,,,,,,,,,,,,,,,,,,,
base_model,agreeableness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.204266666666667,3.2499666666666664,3.2002333333333337,3.2002,3.1835333333333335,3.2332666666666667,3.2312333333333334,3.2540666666666667,0.06745263131460746,0.06545674187943708,0.047553007326005224,0.0528833459215854,0.0517891836219676,0.07122181636575116,0.06372932164068282,0.06726065270497185
base_model,altruism,0.0,0.041666666666666664,0.0,0.075,0.0,0.016666666666666666,0.0,0.0,4.0,3.9055000000000004,3.808333333333333,3.8639,3.933333333333333,3.9722,4.166666666666667,4.133333333333334,0.06565321642986127,0.26791258867849743,0.2244085457425783,0.26490249995566034,0.1458230702464186,0.20691434176389567,0.16522363806281667,0.1572025562074641
base_model,conscientiousness,0.0,0.0,0.0,0.0,0.0,0.0,0.0020833333333333333,0.004166666666666667,3.268733333333333,3.2708999999999997,3.2480333333333333,3.2582666666666666,3.2064333333333335,3.2271666666666667,3.2340333333333335,3.2450666666666668,0.09861206939257006,0.08241248231535864,0.08109827300909353,0.08145061263643483,0.05462453871553568,0.062271974840811775,0.10304016067846403,0.07409124539159899
base_model,emotionality,0.0,0.0,0.0020833333333333333,0.0020833333333333333,0.0,0.0,0.0,0.0,3.0291333333333332,3.0686666666666667,3.1001666666666665,3.0959333333333334,3.0478,3.0998333333333337,3.1250666666666667,3.1500666666666666,0.10211816459489399,0.07410818435574949,0.07095510155571344,0.06933423960504073,0.06072175091746593,0.07093954849186658,0.06380624406442686,0.0629290423240026
base_model,extraversion,0.0020833333333333333,0.03333333333333333,0.0,0.0,0.0020833333333333333,0.008333333333333333,0.0,0.0,3.2795666666666667,3.2812666666666668,3.2604333333333333,3.2396333333333334,3.3068999999999997,3.318433333333333,3.2167666666666666,3.2771,0.06851160653411244,0.07917981862924989,0.08837993348989436,0.05681881872161309,0.07410726149910372,0.08501913915694806,0.0799502790891738,0.07806997303480515
base_model,honest-humility,0.0,0.06041666666666667,0.0,0.125,0.0,0.075,0.0,0.11458333333333333,3.6209,3.3117666666666663,3.529033333333333,3.1098333333333334,3.5769,3.2828,3.4897333333333336,3.1432333333333333,0.09270805120711302,0.27607641162814195,0.10223215073389665,0.1184256156276235,0.08803461309875948,0.2350985706699096,0.09297494409724091,0.10344503232462962
base_model,openness to experience,0.004166666666666667,0.0020833333333333333,0.0,0.0,0.0,0.0020833333333333333,0.0,0.004166666666666667,3.3223,3.431633333333333,3.270766666666667,3.3354,3.4813,3.444666666666667,3.273,3.3619,0.06998578673436197,0.08925611476525569,0.09320747466449962,0.07788745195738399,0.06778065536256865,0.05107960881586305,0.08906409935043098,0.07871176137852817
