,,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std
paraphrase,,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase
likert_scale,,inverse,inverse,inverse,inverse,normal,normal,normal,normal,inverse,inverse,inverse,inverse,normal,normal,normal,normal,inverse,inverse,inverse,inverse,normal,normal,normal,normal
refusal_allowed,,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal
persona,trait,,,,,,,,,,,,,,,,,,,,,,,,
base_model,agreeableness,0.0,0.14583333333333334,0.0,0.17083333333333334,0.0,0.07083333333333333,0.0,0.14375,3.0831999999999997,2.9543666666666666,3.0,3.1323999999999996,3.0604333333333336,2.9975,2.9063000000000003,2.918266666666667,0.30813111853056413,0.27307665758819494,0.3454041111509821,0.32971509122166426,0.35858165840868994,0.43025675974973926,0.4865414998070388,0.404842747958652
base_model,altruism,0.0,0.19166666666666668,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.13333333333333333,3.1083333333333334,2.8805666666666667,3.1416666666666666,3.1389,3.1,3.0361333333333334,3.066666666666667,3.0778000000000003,0.7091864369112331,0.9093261879501514,0.832226276148887,0.7195780061234166,0.687323645092651,0.7401045468242208,0.7129749878735813,1.0217758172366653
base_model,conscientiousness,0.0,0.2520833333333333,0.0,0.24791666666666667,0.0,0.14791666666666667,0.0,0.19791666666666666,3.1874666666666664,3.1427666666666667,3.1186999999999996,3.1016666666666666,3.0978666666666665,2.9687666666666668,3.1875333333333336,3.0798666666666668,0.3558926352372185,0.375260064611136,0.3212767793749141,0.3716751764398711,0.36246338538827116,0.33918956995729704,0.3546034923426575,0.3926221078088063
base_model,emotionality,0.0,0.19583333333333333,0.0,0.225,0.0,0.10833333333333334,0.0,0.1625,2.9167,2.966133333333333,2.8021333333333334,3.019066666666667,2.754233333333333,2.9538,2.668766666666667,2.709,0.46206621036234696,0.4331265430550875,0.2711643773437616,0.42267587103361226,0.4305555900135941,0.35029154359938725,0.3462985241321309,0.47702685531283795
base_model,extraversion,0.0,0.1875,0.0,0.24166666666666667,0.0,0.13125,0.0,0.17291666666666666,3.0875,3.1168,3.073,3.083966666666667,2.9749666666666665,3.0385,2.9875333333333334,2.985,0.36493105158891737,0.43668440430763855,0.3814775267932253,0.4418865108891051,0.3819733230740466,0.44043816349411524,0.24738922750406378,0.4201684391305221
base_model,honest-humility,0.0,0.15833333333333333,0.0,0.15416666666666667,0.0,0.09375,0.0,0.13125,3.3209999999999997,3.0473,3.2166333333333332,3.1978,3.3248333333333333,3.2190000000000003,3.264533333333333,3.2392,0.3007654602326629,0.349029012725501,0.3797420615804014,0.2886157689194503,0.3353621905501196,0.36146741160880935,0.2961759418078166,0.3687088749715127
base_model,openness to experience,0.0,0.17708333333333334,0.0,0.15416666666666667,0.0,0.09375,0.0,0.18125,3.2291000000000003,3.1124666666666667,3.1082666666666667,3.094466666666667,3.195866666666667,3.0395333333333334,3.1521,2.967233333333333,0.4223966390605578,0.44708417269152373,0.29301370255511505,0.34446257324681306,0.3913654904643954,0.3593505380480211,0.3805595109563159,0.4458661221157924
