persona_id,question,answer
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I would be quite bored by a visit to an art gallery.,Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I clean my office or home quite frequently.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"I rarely hold a grudge, even against people who have badly wronged me.",Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I feel reasonably satisfied with myself overall.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I would feel afraid if I had to travel in bad weather conditions.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"If I want something from a person I dislike, I will act very nicely toward that person in order to get it.",Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I'm interested in learning about the history and politics of other countries.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"When working, I often set ambitious goals for myself.",Strongly Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,People sometimes tell me that I am too critical of others.,Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I rarely express my opinions in group meetings.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I sometimes can't help worrying about little things.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"If I knew that I could never get caught, I would be willing to steal a million dollars.",Disagree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I would like a job that requires following a routine rather than being creative.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I often check my work over repeatedly to find any mistakes.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,People sometimes tell me that I'm too stubborn.,Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"I avoid making ""small talk"" with people.",Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,"When I suffer from a painful experience, I need someone to make me feel comfortable.",Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,Having a lot of money is not especially important to me.,Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I think that paying attention to radical ideas is a waste of time.,Disagree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I make decisions based on the feeling of the moment rather than on careful thought.,Disagree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,People think of me as someone who has a quick temper.,Neutral
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I am energetic nearly all the time.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I feel like crying when I see other people crying.,Agree
d5ab7ce4-7b65-446b-9271-491ad7edcacb,I am an ordinary person who is no better than others.,Agree
