,,,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,subtrait_score,subtrait_score,subtrait_score,subtrait_score,subtrait_score,subtrait_score,subtrait_score,subtrait_score
paraphrase,,,paraphrase,normal,paraphrase,normal,normal,normal,paraphrase,paraphrase,paraphrase,normal,paraphrase,normal,normal,normal,paraphrase,paraphrase
likert_scale,,,normal,normal,normal,inverse,inverse,normal,inverse,inverse,normal,normal,normal,inverse,inverse,normal,inverse,inverse
refusal_allowed,,,No Refusal,No Refusal,Refusal,No Refusal,Refusal,Refusal,No Refusal,Refusal,No Refusal,No Refusal,Refusal,No Refusal,Refusal,Refusal,No Refusal,Refusal
persona,trait,subtrait,,,,,,,,,,,,,,,,
persona_0,agreeableness,flexibility,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,3.5,4.0,2.333,3.25,2.5,4.0,4.25,3.667
persona_0,agreeableness,forgiveness,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,3.75,3.5,3.667,3.25,2.667,4.0,3.0,3.75
persona_0,agreeableness,gentleness,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,2.25,2.0,2.333,3.0,3.5,2.333,2.0,2.333
persona_0,agreeableness,patience,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,3.75,3.25,3.0,2.5,3.25,1.5,2.5
persona_0,altruism,altruism,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,3.75,3.5,2.333,2.5,3.0,4.25,3.5,3.0
persona_0,conscientiousness,diligence,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,3.5,3.25,3.75,2.25,3.333,3.0,3.5,3.25
persona_0,conscientiousness,organization,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,2.75,2.75,2.5,4.25,2.0,2.667,2.25,2.5
persona_0,conscientiousness,perfectionism,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25,2.0,3.0,2.5,3.25,2.5,3.0,2.25,4.333
