,,,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_mean,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std,subtrait_score_std
paraphrase,,,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase
likert_scale,,,inverse,inverse,inverse,inverse,normal,normal,normal,normal,inverse,inverse,inverse,inverse,normal,normal,normal,normal,inverse,inverse,inverse,inverse,normal,normal,normal,normal
refusal_allowed,,,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal
persona,trait,subtrait,,,,,,,,,,,,,,,,,,,,,,,,
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",agreeableness,flexibility,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5083333333333333,3.5833333333333335,3.191666666666667,3.216666666666667,3.5416666666666665,3.525,3.325,3.308333333333333,0.1034602483493334,0.2210216611842461,0.1819830104486516,0.17036134686526494,0.20847696198419846,0.1654408947484642,0.1628146820457393,0.12600173324843267
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",agreeableness,forgiveness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.033333333333333,3.066666666666667,3.033333333333333,3.1333333333333333,3.2333333333333334,3.183333333333333,3.0416666666666665,0.24913643956121995,0.1268540658512313,0.130207614940547,0.0864364759104401,0.22488822255440175,0.23610829387546217,0.13020761494054692,0.09476225544736293
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",agreeableness,gentleness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0833333333333335,3.2,3.1666666666666665,3.0833333333333335,3.216666666666667,3.2416666666666667,3.2916666666666665,3.283333333333333,0.11986582537134603,0.1210585495278756,0.13666806839763346,0.1366680683976335,0.08643647591044012,0.04564354645876384,0.11528325934435363,0.08643647591044012
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",agreeableness,patience,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4916666666666667,3.4916666666666667,3.466666666666667,3.3916666666666666,3.475,3.466666666666667,3.4833333333333334,3.325,0.045643546458763846,0.04564354645876382,0.10854312136382616,0.14208019428898383,0.10064447498411218,0.08643647591044015,0.1124441112772009,0.13374577015548098
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",altruism,altruism,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,4.141666666666667,4.205566666666667,4.366666666666666,4.425,4.308333333333334,4.366666666666666,4.5,4.475,0.2043000385392191,0.1573661847156307,0.1428366159308414,0.11652289992484975,0.16972763848109063,0.20482681218167154,0.0,0.07628214415734119
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",conscientiousness,diligence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5083333333333333,3.5166666666666666,3.475,3.558333333333333,3.566666666666667,3.6,3.625,0.0,0.07996047874368649,0.11244411127720087,0.17799166970046268,0.10754576678801904,0.112444111277201,0.15536386656646636,0.1574308824806007
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",conscientiousness,organization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1333333333333333,3.1,3.1416666666666666,3.0833333333333335,3.2666666666666666,3.2666666666666666,3.308333333333333,3.2333333333333334,0.14283661593084146,0.14081046199376154,0.1420801942889839,0.11986582537134603,0.17287295182088025,0.23610829387546217,0.18198301044865153,0.159920957487373
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",conscientiousness,perfectionism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.466666666666667,3.425,3.5833333333333335,3.716666666666667,3.3916666666666666,3.45,3.825,3.808333333333333,0.1572025562074643,0.16281468204573932,0.24855906580811402,0.19401978806534026,0.18198301044865156,0.15256428831468227,0.18742814715198888,0.16972763848109068
