,,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std
paraphrase,,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase
likert_scale,,inverse,inverse,inverse,inverse,normal,normal,normal,normal,inverse,inverse,inverse,inverse,normal,normal,normal,normal,inverse,inverse,inverse,inverse,normal,normal,normal,normal
refusal_allowed,,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal
persona,trait,,,,,,,,,,,,,,,,,,,,,,,,
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",agreeableness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3208333333333333,3.3269333333333333,3.2230333333333334,3.181366666666667,3.341466666666667,3.3666,3.3207,3.2396333333333334,0.08168108012615105,0.07470582922061858,0.06268942787915752,0.0722111288267728,0.07659644960410392,0.07667917938869812,0.06522171734777538,0.04915175889323632
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",altruism,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,4.141666666666667,4.205566666666667,4.366666666666666,4.425,4.308333333333334,4.366666666666666,4.5,4.475,0.2043000385392191,0.1573661847156307,0.1428366159308414,0.11652289992484975,0.16972763848109063,0.20482681218167154,0.0,0.07628214415734119
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",conscientiousness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3019000000000003,3.2956999999999996,3.3124,3.3207333333333335,3.4187,3.4271000000000003,3.443766666666667,3.4522333333333335,0.061599009172505964,0.07135639062311522,0.08193588746802231,0.06919384731135515,0.10796811470570129,0.08228434719376129,0.09895686393343428,0.07088391838109301
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",emotionality,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1750666666666665,3.141833333333333,3.081166666666667,3.106133333333333,3.160433333333333,3.1688666666666667,3.145866666666667,3.1791666666666667,0.1004070794774721,0.07528753312254403,0.07384657129450246,0.04415625338096165,0.10597354365134252,0.07908299147243913,0.06651820250403508,0.08646190444085897
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",extraversion,0.0,0.014583333333333334,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,3.343566666666667,3.304466666666667,3.1271,3.1167000000000002,3.4292000000000002,3.359366666666667,3.245833333333333,3.2479,0.0749324676801966,0.11120987717648645,0.0626882544132417,0.07297526742104096,0.08165841384526241,0.09193156500178895,0.06925917508412383,0.06000077585705263
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",honest-humility,0.0,0.004166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,3.9750333333333336,3.8075666666666668,3.6082666666666667,3.7021333333333337,3.9062666666666668,3.9228333333333336,3.8311333333333333,3.933333333333333,0.09919798500919798,0.17347476877718798,0.08531965587226034,0.07639179109777725,0.10342511311566702,0.09535888050912747,0.09598517605853799,0.10106888512410696
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",openness to experience,0.0,0.0,0.0,0.0,0.0,0.0020833333333333333,0.0,0.0,3.4022,3.4272666666666667,3.308266666666667,3.3729,3.5291333333333332,3.4111333333333334,3.4770666666666665,3.477,0.07651387072807844,0.07361218664724282,0.08350425689472499,0.11305364915033439,0.07093354506925431,0.0739378738901945,0.11434881098950124,0.09767398270036767
"Age : 42, Location : Lagos, Nigeria, Background : Former emergency dispatcher",agreeableness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2791,3.3123666666666667,3.2312333333333334,3.2666,3.3561666666666667,3.3375,3.2977666666666665,3.3206333333333333,0.08643528573846247,0.07521577390200922,0.11501954356672978,0.08186641768654336,0.061907652768170576,0.07084842976382758,0.07278910648571332,0.05629202389347008
