,,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,refusal_rate,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_mean,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std,trait_score_std
paraphrase,,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase,normal,normal,paraphrase,paraphrase
likert_scale,,inverse,inverse,inverse,inverse,normal,normal,normal,normal,inverse,inverse,inverse,inverse,normal,normal,normal,normal,inverse,inverse,inverse,inverse,normal,normal,normal,normal
refusal_allowed,,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal,No Refusal,Refusal
persona,trait,,,,,,,,,,,,,,,,,,,,,,,,
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",agreeableness,0.0,0.44166666666666665,0.0,0.3625,0.0,0.36875,0.0,0.4,2.9271666666666665,2.8673,2.9061999999999997,2.9268666666666667,2.895866666666667,2.9156666666666666,2.964566666666667,2.9042666666666666,0.27709354617770043,0.4314855773351827,0.3100344141075866,0.2638942752424674,0.28055151759166885,0.42673373215732485,0.2760087059263285,0.43499186939158024
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",altruism,0.0,0.43333333333333335,0.0,0.48333333333333334,0.0,0.425,0.0,0.39166666666666666,2.9583333333333335,2.517857142857143,3.0166666666666666,2.5388666666666664,2.8583333333333334,2.352733333333333,2.8666666666666667,2.6138666666666666,0.48726600632461553,0.8538791966898375,0.6976973621817717,0.8706366569963312,0.6147726427703584,0.7529123195429467,0.5443017249798975,0.8253915573765616
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",conscientiousness,0.0,0.4041666666666667,0.0,0.45,0.0,0.42083333333333334,0.0,0.4791666666666667,3.0145,2.8510666666666666,2.9812,2.7671333333333332,3.0271333333333335,2.8064000000000004,2.9396,2.7258666666666667,0.21062120762983055,0.3472210796609554,0.24182273359376008,0.30374112540841064,0.2131919538711588,0.4152693849406257,0.24532464065059764,0.4509272999997421
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",emotionality,0.0,0.4979166666666667,0.0,0.45625,0.0,0.46041666666666664,0.0,0.46875,2.881333333333333,2.7352333333333334,2.8811666666666667,2.6071666666666666,2.8937666666666666,2.5726999999999998,2.7729,2.6248666666666667,0.23801584029195416,0.3717118538584029,0.2464064603011879,0.3334421402875471,0.2121854561841879,0.48600121682833336,0.24698978758728826,0.4356071255341124
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",extraversion,0.0,0.4270833333333333,0.0,0.46875,0.0,0.45416666666666666,0.0,0.475,2.8437333333333332,2.8472333333333335,2.8729333333333336,2.8235666666666663,2.8999,2.7619,2.8916666666666666,2.6479,0.22122946946760855,0.40920003398838073,0.26079096310413363,0.33199456615134976,0.23189836507430997,0.24210119713700792,0.2428225310987336,0.41384624414521815
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",honest-humility,0.0,0.38125,0.0,0.41875,0.0,0.4,0.0,0.41041666666666665,3.1688666666666667,3.2015000000000002,3.308266666666667,3.177433333333333,3.356133333333333,3.146733333333333,3.2916000000000003,3.0845,0.27128325104740714,0.43251699189264453,0.2781809053331197,0.3593580179395908,0.31367781992459043,0.4081120479453663,0.2892185189854516,0.3771499975999672
"Age : 29, Location : Mumbai, India, Background : Psychology graduate turned support specialist",openness to experience,0.0,0.43125,0.0,0.4375,0.0,0.4479166666666667,0.0,0.43333333333333335,2.9435999999999996,3.064233333333333,2.9542,2.8141000000000003,2.8937666666666666,3.0867666666666667,2.9583999999999997,2.9645333333333337,0.258108584474268,0.3353635889323842,0.23554403644212324,0.32917748592724166,0.19839610037417102,0.28518907017472883,0.2051407590765003,0.3486425630665442
